NAME,MSINI,A,PER,ECC,OM,T0,K,ORBREF,ORBURL,FIRSTREF,FIRSTURL
,mjupiter,au,day,,deg,jd,m/s,,,,
Kepler-1186 b,,0.12255,16.07677615,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-927 b,,0.0851117,9.1149903,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-660 b,,0.078486,9.27358194,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-1385 b,,0.0415895,2.88879862,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
47 UMa b,2.54589,2.10149,1078,0.032,334,2451917,48.4,Gregory 2010,http://adsabs.harvard.edu/abs/2010MNRAS.403..731G,Butler 1996,http://adsabs.harvard.edu/abs/1996ApJ...464L.153B
HD 240210 b,7.28868,1.33364,501.75,0.15,277.49,2454486.76,161.89,Niedzielski 2009,http://adsabs.harvard.edu/abs/2009ApJ...707..768N,Niedzielski 2009,http://adsabs.harvard.edu/abs/2009ApJ...707..768N
Kepler-1255 b,,0.220101,36.2919336,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-804 c,,0.0890131,9.65185017,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-906 b,,0.239949,41.6979976,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-304 b,,0.0433417,3.295709,,90,2454966.96482,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-149 d,,0.576836,160.018032,,90,2455084.28348,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-1625 b,,0.84075,287.378949,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-77 b,0.430694,0.0450195,3.57878087,0,90,2455095.865727,59.2,Gandolfi 2013,http://adsabs.harvard.edu/abs/2013A%26A...557A..74G,Gandolfi 2013,http://adsabs.harvard.edu/abs/2013A%26A...557A..74G
Kepler-719 b,,0.0570893,5.00731778,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
HD 109749 b,0.27467,0.0629198,5.24,0,0,2453013.55,28.3,Fischer 2006,http://adsabs.harvard.edu/abs/2006ApJ...637.1094F,Fischer 2006,http://adsabs.harvard.edu/abs/2006ApJ...637.1094F
Kepler-1455 b,,0.224301,49.276764,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-775 b,,0.018714,0.97486893,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
HD 45364 c,0.658513,0.897549,342.85,0.0974,7.41,2453250.376643117,21.92,Correia 2009,http://adsabs.harvard.edu/abs/2009A%26A...496..521C,Correia 2009,http://adsabs.harvard.edu/abs/2009A%26A...496..521C
Kepler-55 d,,0.0332158,2.211099,,90,2455003.14912,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-685 b,,0.0280141,1.6255222,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-500 b,,0.0821049,8.5083244,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-327 b,,0.0365246,2.549575,,90,2454965.60488,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-1162 b,,0.191967,32.5637069,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-721 b,,0.0563265,5.39202539,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
WASP-50 b,1.46438,0.0294714,1.9550959,0.009,44,2455561.549,256.6,Gillon 2011,http://adsabs.harvard.edu/abs/2011A%26A...533A..88G,Gillon 2011,http://adsabs.harvard.edu/abs/2011A%26A...533A..88G
Kepler-1540 b,,0.443519,125.4131177,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
HD 11506 c,0.36,0.774655,223.6,0.24,272,2454127,12.5,Giguere 2015,http://adsabs.harvard.edu/abs/2015ApJ...799...89G,Giguere 2015,http://adsabs.harvard.edu/abs/2015ApJ...799...89G
Kepler-607 b,,0.0136874,0.6381632,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-1317 b,,0.0126273,0.56887443,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-1507 b,,0.119784,16.0506213,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-1384 b,,0.111331,15.36262753,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-217 d,,0,3.88689525,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
Kepler-1007 b,,0.0527894,5.18500207,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M
